Acanthochelys spixii,(SPIX 1824),,"E: Black Spine-necked Swamp Turtle
G: Stachelhals-Plattschildkröte","Chelidae, Chelinae,  Testudines (turtles)"
Acanthodactylus aegyptius,BAHA EL DIN 2007,,G: Ägyptischer Fransenfinger,"Lacertidae, Sauria (lizards)"
Acanthodactylus ahmaddisii,WERNER 2004,,G: Jordanischer Pantherfransenfinger,"Lacertidae, Sauria (lizards)"
Acanthodactylus arabicus,BOULENGER 1918,,Arabian Fringe-fingered Lizard,"Lacertidae, Sauria (lizards)"
Acanthodactylus aureus,GÜNTHER 1903,,Golden Fringe-fingered Lizard,"Lacertidae, Sauria (lizards)"
Acanthodactylus bedriagai,LATASTE 1881,,Bedriaga's Fringe-fingered Lizard,"Lacertidae, Sauria (lizards)"
Acanthodactylus beershebensis,"MORAVEC, EL DIN, SELIGMANN, SIVAN & WERNER 1999",,,"Lacertidae, Sauria (lizards)"
Acanthodactylus blanci,DOUMERGUE 1901,,White Fringe-fingered Lizard,"Lacertidae, Sauria (lizards)"
Acanthodactylus blanfordii,BOULENGER 1918,,Blanford's Fringe-fingered Lizard,"Lacertidae, Sauria (lizards)"
Acanthodactylus boskianus,(DAUDIN 1802),"Acanthodactylus boskianus asper (AUDOUIN, 1829)
Acanthodactylus boskianus boskianus (DAUDIN, 1802)
Acanthodactylus boskianus euphraticus BOULENGER, 1919
Acanthodactylus boskianus khattensis TRAPÉ & TRAPÉ 2012
Acanthodactylus boskianus nigeriensis TRAPÉ, CHIRIO & GENIEZ 2012","E: Bosk's Fringe-fingered Lizard, Bosc’s Fringe-toed lizard
G: Boscs Fransenfinger
F: Acanthodactyle de Bosc","Lacertidae, Sauria (lizards)"
Acanthodactylus boueti,CHABANAUD 1917,,Chabanaud's Fringe-fingered Lizard,"Lacertidae, Sauria (lizards)"
Acanthodactylus busacki,SALVADOR 1982,,Busack's Fringe-fingered Lizard,"Lacertidae, Sauria (lizards)"
Acanthodactylus cantoris,GÜNTHER 1864,,Indian Fringe-fingered Lizard,"Lacertidae, Sauria (lizards)"
Acanthodactylus dumerilii,(MILNE-EDWARDS 1829),,"Duméril's Fringe-fingered Lizard
G: Dumérils Fransenfinger","Lacertidae, Sauria (lizards)"
Acanthodactylus erythrurus,(SCHINZ 1833),"Acanthodactylus erythrurus atlanticus BOULENGER, 1918
Acanthodactylus erythrurus belli GRAY 1845
Acanthodactylus erythrurus erythrurus (SCHINZ, 1833)","E: Fringe-fingered Lizard
G: Europäischer Fransenfinger
D: Roodstaartfransjenhagedis","Lacertidae, Sauria (lizards)"
Acanthodactylus felicis,ARNOLD 1980,,"Cat Fringe-fingered Lizard, South Arabian Fringe-toed Lizard","Lacertidae, Sauria (lizards)"
Acanthodactylus gongrorhynchatus,LEVITON & ANDERSON 1967,,Saudi Fringe-fingered Lizard,"Lacertidae, Sauria (lizards)"
Acanthodactylus grandis,BOULENGER 1909,,Giant Fringe-fingered Lizard,"Lacertidae, Sauria (lizards)"
Acanthodactylus guineensis,(BOULENGER 1887),,Guinea Fringe-fingered Lizard,"Lacertidae, Sauria (lizards)"
Acanthodactylus haasi,LEVITON & ANDERSON 1967,,"Haas' Fringe-fingered Lizard, Haas’s Fringe-toed Lizard","Lacertidae, Sauria (lizards)"
Acanthodactylus hardyi,HAAS 1957,,Hardy’s Fringe-fingered Lizard,"Lacertidae, Sauria (lizards)"
Acanthodactylus harranensis,"BARAN, KUMLUTAS, LANZA, SINDACO, AVCI & CRUCITTI 2005",,,"Lacertidae, Sauria (lizards)"
Acanthodactylus khamirensis,"HEIDARI, RASTEGAR-POUYANI, RASTEGAR-POUYANI & RAJABIZADEH 2013",,,"Lacertidae, Sauria (lizards)"
Acanthodactylus lineomaculatus,DUMÉRIL & BIBRON 1839,,,"Lacertidae, Sauria (lizards)"
Acanthodactylus longipes,BOULENGER 1918,,"Long Fringe-fingered Lizard
G: Dünen-Fransenfinger, Langfüssiger Fransenfinger","Lacertidae, Sauria (lizards)"
Acanthodactylus maculatus,(GRAY 1838),,Spotted Fringe-fingered Lizard,"Lacertidae, Sauria (lizards)"
Acanthodactylus masirae,ARNOLD 1980,,Masira Fringe-fingered Lizard,"Lacertidae, Sauria (lizards)"
Acanthodactylus micropholis,BLANFORD 1874,,Yellowtail Fringe-fingered Lizard,"Lacertidae, Sauria (lizards)"
Acanthodactylus nilsoni,RASTEGAR-POUYANI 1998,,Nilson's Spiny-Toed Lizard,"Lacertidae, Sauria (lizards)"
Acanthodactylus opheodurus,ARNOLD 1980,,"Snake-tailed Fringe-toed Lizard, Arnold's Fringe-fingered Lizard","Lacertidae, Sauria (lizards)"
Acanthodactylus orientalis,ANGEL 1936,,,"Lacertidae, Sauria (lizards)"
Acanthodactylus pardalis,(LICHTENSTEIN 1823),,"Egyptian Fringe-fingered Lizard
G: Ägyptischer Pantherfransenfinger, Ägyptischer Leopardfransenfinger","Lacertidae, Sauria (lizards)"
Acanthodactylus robustus,WERNER 1929,,Robust Fringe-fingered Lizard,"Lacertidae, Sauria (lizards)"
Acanthodactylus savignyi,(AUDOUIN 1827),,Savigny's Fringe-fingered Lizard,"Lacertidae, Sauria (lizards)"
Acanthodactylus schmidti,HAAS 1957,,"Schmidt's Fringe-fingered Lizard, Schmidt’s Fringe-toed Lizard","Lacertidae, Sauria (lizards)"
Acanthodactylus schreiberi,BOULENGER 1878,,Schreiber's Fringe-fingered Lizard,"Lacertidae, Sauria (lizards)"
Acanthodactylus scutellatus,(AUDOUIN 1827),"Acanthodactylus scutellatus audouini BOULENGER 1918
Acanthodactylus scutellatus scutellatus (AUDOUIN, 1827)",Nidua Fringe-fingered Lizard,"Lacertidae, Sauria (lizards)"
Acanthodactylus senegalensis,CHABANAUD 1918,,G: Senegal-Fransenfinger,"Lacertidae, Sauria (lizards)"
Acanthodactylus spinicauda,DOUMERGUE 1901,,Doumergue's Fringe-fingered Lizard,"Lacertidae, Sauria (lizards)"
Acanthodactylus taghitensis,GENIEZ & FOUCART 1995,,,"Lacertidae, Sauria (lizards)"
Acanthodactylus tilburyi,ARNOLD 1986,,Tilbury's Fringe-fingered Lizard,"Lacertidae, Sauria (lizards)"
Acanthodactylus tristrami,(GÜNTHER 1864),,Lebanon Fringe-fingered Lizard,"Lacertidae, Sauria (lizards)"
Acanthodactylus yemenicus,SALVADOR 1982,,Yemen Fringe-fingered Lizard,"Lacertidae, Sauria (lizards)"
Acanthophis antarcticus,(SHAW 1802),"Acanthophis antarcticus antarcticus (SHAW 1794)
Acanthophis antarcticus schistos WELLS & WELLINGTON 1985","E: Common death adder
G: Todesotter","Elapidae, Serpentes (snakes)"
Acanthophis hawkei,WELLS & WELLINGTON 1985,,,"Elapidae, Serpentes (snakes)"
Acanthophis laevis,MACLEAY 1878,,,"Elapidae, Serpentes (snakes)"
Acanthophis praelongus,RAMSAY 1877,,Northern death adder,"Elapidae, Serpentes (snakes)"
Acanthophis pyrrhus,BOULENGER 1898,,Desert Death Adder,"Elapidae, Serpentes (snakes)"
Acanthophis rugosus,LOVERIDGE 1948,,G: Rauhnackige Todesotter,"Elapidae, Serpentes (snakes)"
Acanthophis wellsi,HOSER 1998,"Acanthophis wellsi wellsi HOSER 1998
Acanthophis wellsi donnellani HOSER 2002",,"Elapidae, Serpentes (snakes)"
Acanthosaura armata,(GRAY 1827),,"E: Armored Pricklenape, Peninsular Horned Tree Lizard
G: Grosser Nackenstachler","Agamidae (Draconinae), Sauria (lizards)"
Acanthosaura bintangensis,"WOOD, GRISMER, GRISMER, AHMAD, ONN & BAUER 2009",,"Bukit Larut Mountain Horned Agamid, Bintang Horned Tree Lizard","Agamidae (Draconinae), Sauria (lizards)"
Acanthosaura brachypoda,"ANANJEVA, ORLOV, NGUYEN & RYABOV 2011",,,"Agamidae (Draconinae), Sauria (lizards)"
Acanthosaura capra,GÜNTHER 1861,,"E: Green Pricklenape
G: Grüner Nackenstachler","Agamidae (Draconinae), Sauria (lizards)"
Acanthosaura cardamomensis,"WOOD, GRISMER, GRISMER, NEANG, CHAV & HOLDEN 2010",,,"Agamidae (Draconinae), Sauria (lizards)"
Acanthosaura coronata,GÜNTHER 1861,,,"Agamidae (Draconinae), Sauria (lizards)"
Acanthosaura crucigera,BOULENGER 1885,,"E: Boulenger's Pricklenape, Masked Horned Tree Lizard
G: Masken-Nackenstachler, Winkelkopfagame","Agamidae (Draconinae), Sauria (lizards)"
Acanthosaura lepidogaster,(CUVIER 1829),,"E: Brown Pricklenape
G: Schwarzkopf-Nackenstachler","Agamidae (Draconinae), Sauria (lizards)"
Acanthosaura nataliae,"ORLOV, TRUONG & SANG 2006",,,"Agamidae (Draconinae), Sauria (lizards)"
Acanthosaura titiwangsaensis,"WOOD, GRISMER, GRISMER, AHMAD, ONN & BAUER 2009",,"Malayan Mountain Horned Agamid, Titiwangsa Horned Tree Lizard","Agamidae (Draconinae), Sauria (lizards)"
Achalinus ater,BOURRET 1937,,Bourret's Odd-scaled Snake,"Xenodermatidae, Serpentes (snakes)"
Achalinus formosanus,BOULENGER 1908,"Achalinus formosanus chigirai OTA and TOYAMA 1989
Achalinus formosanus formosanus BOULENGER 1908",Formosa Odd-scaled Snake,"Xenodermatidae, Serpentes (snakes)"
Achalinus hainanus,HUANG 1975,,Hainan Odd-scaled Snake,"Xenodermatidae, Serpentes (snakes)"
Achalinus jinggangensis,(ZONG & MA 1983),,Zong's Odd-scaled Snake,"Xenodermatidae, Serpentes (snakes)"
Achalinus meiguensis,HU & ZHAO 1966,,Szechwan Odd-scaled Snake,"Xenodermatidae, Serpentes (snakes)"
Achalinus niger,MAKI 1931,,Black Odd-scaled Snake,"Xenodermatidae, Serpentes (snakes)"
Achalinus rufescens,BOULENGER 1888,,Boulenger's Odd-scaled Snake,"Xenodermatidae, Serpentes (snakes)"
Achalinus spinalis,PETERS 1869,"
",Peters' Odd-scaled Snake,"Xenodermatidae, Serpentes (snakes)"
Achalinus werneri,VAN DENBURGH 1912,,Amami odd-scaled snake,"Xenodermatidae, Serpentes (snakes)"
Acontias aurantiacus,(PETERS 1854),"Acontias aurantiacus aurantiacus (PETERS 1854)
Acontias aurantiacus bazarutoensis BROADLEY 1990
Acontias aurantiacus carolinensis BROADLEY 1990
Acontias aurantiacus fitzsimonsi BROADLEY 1968
Acontias aurantiacus parietalis BROADLEY 1990",,"Scincidae, Acontinae; Sauria (lizards)"
Acontias bicolor,(HEWITT 1929),,,"Scincidae, Acontinae; Sauria (lizards)"
Acontias breviceps,ESSEX 1925,,Shorthead Lance Skink,"Scincidae, Acontinae; Sauria (lizards)"
Acontias cregoi,(BOULENGER 1903),,Cregoe's Legless Skink,"Scincidae, Acontinae; Sauria (lizards)"
Acontias gariepensis,(FITZSIMONS 1941),,FitzSimon's Legless Skink,"Scincidae, Acontinae; Sauria (lizards)"
Acontias gracilicauda,ESSEX 1925,,Slendertail Lance Skink,"Scincidae, Acontinae; Sauria (lizards)"
Acontias jappi,(BROADLEY 1968),,,"Scincidae, Acontinae; Sauria (lizards)"
Acontias kgalagadi,"(LAMB, BISWAS & BAUER 2010)","Acontias kgalagadi kgalagadi BOULENGER 1887
Acontias kgalagadi subtaeniatus (BROADLEY 1968)",Striped Legless Skink,"Scincidae, Acontinae; Sauria (lizards)"
Acontias lineatus,PETERS 1879,"Acontias lineatus lineatus DANIELS et al. 2006
Acontias lineatus grayi BOULENGER 1887","Lined Lance Skink, Striped Legless Lizard","Scincidae, Acontinae; Sauria (lizards)"
Acontias litoralis,BROADLEY & GREER 1969,,Coastal Legless Skink,"Scincidae, Acontinae; Sauria (lizards)"
Acontias meleagris,(LINNAEUS 1758),,"Golden Sand Skink; Spotted Slow Skink; Thick-tailed Blindworm, Erdslang, Linnaeus' Lance Skink","Scincidae, Acontinae; Sauria (lizards)"
Acontias namaquensis,HEWITT 1938,,Namaqua Lance Skink,"Scincidae, Acontinae; Sauria (lizards)"
Acontias occidentalis,FITZSIMONS 1941,,,"Scincidae, Acontinae; Sauria (lizards)"
Acontias orientalis,HEWITT 1938,,Eastern Striped Blindworm or Legless Skink,"Scincidae, Acontinae; Sauria (lizards)"
Acontias percivali,LOVERIDGE 1935,"Acontias percivali tasmani HEWITT 1938
Acontias percivali percivali LOVERIDGE 1935","Percival's Lance Skink, Teita Limbless skink
tasmani: Tasman's Blindworrn or Legless Skink","Scincidae, Acontinae; Sauria (lizards)"
Acontias plumbeus,BIANCONI 1849,,Giant Lance Skink,"Scincidae, Acontinae; Sauria (lizards)"
Acontias poecilus,BOURQUIN & LAMBIRIS 1996,,,"Scincidae, Acontinae; Sauria (lizards)"
Acontias richardi,(JACOBSEN 1987),,,"Scincidae, Acontinae; Sauria (lizards)"
Acontias rieppeli,"(LAMB, BISWAS & BAUER 2010)",,Wood-bush Legless Skink,"Scincidae, Acontinae; Sauria (lizards)"
Acontias schmitzi,"WAGNER, BROADLEY & BAUER 2012",,,"Scincidae, Acontinae; Sauria (lizards)"
Acontias tristis,WERNER 1910,,,"Scincidae, Acontinae; Sauria (lizards)"
Acrantophis dumerili,JAN 1860,,"E: Dumeril's boa
G: Dumerils Madagaskarboa","Boidae (Sanziniinae, Sanziniidae), Henophidia, Serpentes (snakes)"
Acrantophis madagascariensis,(DUMÉRIL & BIBRON 1844),,"E: Madagascar ground boa
G: nördliche Madagaskarboa","Boidae (Sanziniinae, Sanziniidae), Henophidia, Serpentes (snakes)"
Acratosaura mentalis,(AMARAL 1933),,Amaral's Colobosaura,"Gymnophthalmidae (Gymnophthalminae), Iphisiini, Sauria (lizards)"
Acratosaura spinosa,"RODRIGUES, CASSIMIRO, DE FREITAS & SANTOS SILVA 2009",,Spiny Colobosaura,"Gymnophthalmidae (Gymnophthalminae), Iphisiini, Sauria (lizards)"
Acrochordus arafurae,MCDOWELL 1979,,Arafura filesnake,"Acrochordidae, Caenophidia, Serpentes (snakes)"
Acrochordus granulatus,(SCHNEIDER 1799),,"E: Little filesnake, Marine File Snake, Wart Snake
G: Warzenschlange, Südostasiatische Warzenschlange","Acrochordidae, Caenophidia, Serpentes (snakes)"
Acrochordus javanicus,HORNSTEDT 1787,,"E: Javan File Snake, Elephant Trunk Snake
G: Java-Warzenschlange","Acrochordidae, Caenophidia, Serpentes (snakes)"
Actinemys marmorata,(BAIRD & GIRARD 1852),"Actinemys marmorata marmorata (BAIRD & GIRARD 1852)
Actinemys marmorata pallida (SEELIGER 1945)","Western Pond Turtle, Pacific Pond Turtle
marmorata: Northwestern Pond Turtle, Northern Pacific Pond Turtle
pallida: Southwestern Pond Turtle, Southern Pacific Pond Turtle","Emydidae, Emydinae, Testudines (turtles)"
Acutotyphlops banaorum,"WALLACH, BROWN, DIESMOS & GEE 2007",,,"Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)"
Acutotyphlops infralabialis,(WAITE 1918),,Red Blind Snake,"Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)"
Acutotyphlops kunuaensis,WALLACH 1995,,Kunua Blind Snake,"Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)"
Acutotyphlops solomonis,(PARKER 1939),,,"Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)"
Acutotyphlops subocularis,(WAITE 1897),,Bismarck sharp-nosed blindsnake,"Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)"
Adelophis copei,DUGÈS 1879,,Cope's Mountain Meadow Snake,"Natricidae, Colubroidea, Serpentes (snakes)"
Adelophis foxi,ROSSMAN & BLANEY 1968,,Fox's Mountain Meadow Snake,"Natricidae, Colubroidea, Serpentes (snakes)"
Adelphicos daryi,CAMPBELL & FORD 1982,,Dary's Burrowing Snake,"Dipsadidae, Colubroidea, Serpentes (snakes)"
Adelphicos ibarrorum,CAMPBELL & BRODIE 1988,,,"Dipsadidae, Colubroidea, Serpentes (snakes)"
Adelphicos latifasciatum,LYNCH & SMITH 1966,,Oaxacan Burrowing Snake,"Dipsadidae, Colubroidea, Serpentes (snakes)"
Adelphicos nigrilatum,SMITH 1942,,Burrowing Snake,"Dipsadidae, Colubroidea, Serpentes (snakes)"
Adelphicos quadrivirgatum,JAN 1862,"Adelphicos quadrivirgatum newmanorum TAYLOR 1950
Adelphicos quadrivirgatum quadrivirgatus JAN 1862
Adelphicos quadrivirgatum sargii (FISCHER 1885)
Adelphicos quadrivirgatum visoninus (COPE 1866)",Middle American Burrowing Snake,"Dipsadidae, Colubroidea, Serpentes (snakes)"
Adelphicos veraepacis,STUART 1941,,Stuart's Burrowing Snake,"Dipsadidae, Colubroidea, Serpentes (snakes)"
Adercosaurus vixadnexus,MYERS & DONNELLY 2001,,,"Gymnophthalmidae, Sauria (lizards)"
Adolfus africanus,(BOULENGER 1906),,"Multi-scaled Forest Lizard, Green-bellied Forest Lizard","Lacertidae, Sauria (lizards)"
Adolfus alleni,(BARBOUR 1914),,Alpine Meadow Lizard,"Lacertidae, Sauria (lizards)"
Adolfus jacksoni,(BOULENGER 1899),,Jackson’s Forest Lizard,"Lacertidae, Sauria (lizards)"
Adolfus masavaensis,"WAGNER, GREENBAUM & BRANCH 2014",,,"Lacertidae, Sauria (lizards)"
Aeluroglena cucullata,BOULENGER 1898,,Somali Snake,"Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)"
Aeluroscalabotes felinus,(GÜNTHER 1864),"Aeluroscalabotes felinus felinus (GÜNTHER 1864)
Aeluroscalabotes felinus multituberculatus KOPSTEIN 1927: 438","E: Cat Gecko
G: Fuchsgesicht-Lidgecko","Eublepharidae, Sauria (lizards: geckos)"
Afroablepharus africanus,(GRAY 1845),,Guinea Lidless Skink,"Scincidae, Eugongylinae, Sauria (lizards)"
Afroablepharus annobonensis,(FUHN 1972),,Annobon Lidless Skink,"Scincidae, Eugongylinae, Sauria (lizards)"
Afroablepharus duruarum,(MONARD 1949),,,"Scincidae, Eugongylinae, Sauria (lizards)"
Afroablepharus maculicollis,(JACOBSON & BROADLEY 2000),,,"Scincidae, Eugongylinae, Sauria (lizards)"
Afroablepharus seydeli,(DE WITTE 1933),,Seydel‟s snake-eyed skink,"Scincidae, Eugongylinae, Sauria (lizards)"
Afroablepharus wahlbergi,(SMITH 1849),,"Wahlberg’s snake-eyed skink, Savannah Lidless Skink","Scincidae, Eugongylinae, Sauria (lizards)"
Afroablepharus wilsoni,(WERNER 1914),,,"Scincidae, Eugongylinae, Sauria (lizards)"
Afroedura africana,(BOULENGER 1888),,African Rock Gecko,"Gekkonidae, Sauria (lizards: geckos)"
Afroedura amatolica,(HEWITT 1925),,Amatola Rock Gecko,"Gekkonidae, Sauria (lizards: geckos)"
Afroedura bogerti,LOVERIDGE 1944,,Bogert's Rock Gecko,"Gekkonidae, Sauria (lizards: geckos)"
Afroedura broadleyi,"JACOBSEN, KUHN, JACKMAN & BAUER 2014",,Broadley’s Rock Gecko,"Gekkonidae, Sauria (lizards: geckos)"
Afroedura granitica,"JACOBSEN, KUHN, JACKMAN & BAUER 2014",,Granite Rock Gecko,"Gekkonidae, Sauria (lizards: geckos)"
Afroedura haackei,(ONDERSTALL 1984),,Haacke’s Rock Gecko,"Gekkonidae, Sauria (lizards: geckos)"
